url	Project	Assembly	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b0b70598-5d17-4e0a-8831-6cbe697e69e2/4DNFIWKR8FP6.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells (no 1NM-PP1 washout)		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIWKR8FP6	DNESLU4EMPB
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ccc094a8-23ce-4fd8-9c4a-41f07c045c8f/4DNFIQ74RSUY.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells (no 1NM-PP1 washout)		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIQ74RSUY	DNESEJT5GT5
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8eda16f3-af5e-4f1f-b46d-c74df44b76aa/4DNFI9IIO5PW.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells (no 1NM-PP1 washout)		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI9IIO5PW	DNESQGE4YOX
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f283637b-cf2c-4412-ba00-0e3d7e279fad/4DNFI8WGJG19.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells (no 1NM-PP1 washout)		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI8WGJG19	DNESGA9ZDDN
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7ad8438f-d3d9-42d8-88bf-42845a0dc2d0/4DNFIQ5CCESJ.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIQ5CCESJ	DNESIR416OW
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/70e3bdcc-caf4-4822-b9c5-85234873db7a/4DNFIWTZHB4H.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIWTZHB4H	DNESNWWIFZU
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/56ed767d-cd8a-4d38-8047-ed1e8bc8cd19/4DNFIENYQCDP.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIENYQCDP	DNESEQNSXSD
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a912fff9-5f90-42b1-a3a6-cbb9eb2cf861/4DNFIFATZWPD.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIFATZWPD	DNEST1YQMVS
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/21338ea5-fdee-4ad8-b61c-608fc6cec4bc/4DNFI7YRXKEO.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI7YRXKEO	DNESS8PTK6F
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f0f88647-5631-437b-b48a-4603915e3714/4DNFIUY3J7EW.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIUY3J7EW	DNESGDXKM2I
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/16926af8-ac3b-4f32-97d5-6c0dc6f1596a/4DNFIRKUYKP4.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	merged replicates	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIRKUYKP4	DNES9LEZXN7
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/93e39aec-6cde-4c5b-bcdf-283faa3163a2/4DNFIAQDBJZP.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIAQDBJZP	DNESQ9E7KYZ
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0dc0b1ba-5509-4464-9814-dfe103ff09a0/4DNFIC1CLPK7.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIC1CLPK7	DNESCR8WQLA
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b50964c7-b025-49d9-b1ed-289bedb59678/4DNFI3A3VYWU.hic	External	GRCh38	HAP-1	MboI	merged replicates	Hi-C on HAP-1 +/- WAPL or SCC4 KO		Benjamin Rowland, NKI	Haarhuis JHI et al. (2017) PMID:28475897	4DNFI3A3VYWU	DNES76KXUJ3
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f4390cea-b330-4022-88c1-9ff8c0a786f7/4DNFI6JJQKFJ.hic	External	GRCh38	HAP-1	MboI	merged replicates	Hi-C on HAP-1 +/- WAPL or SCC4 KO		Benjamin Rowland, NKI	Haarhuis JHI et al. (2017) PMID:28475897	4DNFI6JJQKFJ	DNESNLXBFMY
